date,channel,source,medium,campaign,device,city,payment_method,customer_type,sessions,users,product_views,add_to_carts,begin_checkouts,purchases,units_sold,gross_revenue_sar,discount_sar,refund_sar,net_revenue_sar,cost_sar,ad_spend_sar
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,returning,135,111,88,26,17,11,11,2329.0,0.0,219.0,2110.0,703.0,0.0
2025-01-01,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,new,147,131,105,23,13,7,8,1892.0,147.4,0.0,1744.6,596.0,0.0
2025-01-01,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,new,143,106,114,31,16,10,11,2609.0,69.7,0.0,2539.3,821.0,0.0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,new,118,98,79,15,8,5,5,1095.0,13.9,0.0,1081.1,337.0,85.65
2025-01-02,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,new,118,103,88,18,10,6,6,1384.0,35.9,0.0,1348.1,442.0,120.48
2025-01-02,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,new,110,83,77,21,12,7,8,1622.0,46.8,224.1,1351.1,501.0,0.0
2025-01-03,Direct,direct,none,Unassigned,tablet,Madinah,visa,new,102,73,67,17,11,8,10,2070.0,8.9,278.0,1783.1,634.0,0.0
2025-01-03,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,new,78,63,63,18,10,6,6,1064.0,44.7,0.0,1019.3,301.0,0.0
2025-01-03,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mastercard,returning,123,95,81,17,9,6,7,1473.0,27.9,0.0,1445.1,447.0,0.0
2025-01-04,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mastercard,new,148,133,107,22,14,9,11,2539.0,21.9,0.0,2517.1,791.0,171.26
2025-01-04,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,apple_pay,returning,109,88,71,19,11,7,8,2092.0,32.9,0.0,2059.1,677.0,0.0
2025-01-04,Paid Search,google,cpc,KSA Growth,tablet,Dammam,stc_pay,new,122,104,94,24,13,7,8,1902.0,27.9,0.0,1874.1,590.0,166.55
2025-01-05,Email,newsletter,email,Lifecycle,desktop,Dammam,stc_pay,returning,77,63,62,15,9,6,7,1583.0,0.0,0.0,1583.0,503.0,0.0
2025-01-05,Organic Search,google,organic,Always-on SEO,tablet,Makkah,visa,new,131,118,87,23,12,7,8,1782.0,8.9,0.0,1773.1,548.0,0.0
2025-01-05,Direct,direct,none,Unassigned,mobile,Madinah,mada,new,152,122,104,28,15,10,12,2638.0,0.0,0.0,2638.0,814.0,0.0
2025-01-06,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mada,new,157,137,126,33,18,13,15,3085.0,63.7,359.0,2662.3,955.0,0.0
2025-01-06,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mastercard,new,99,83,69,19,12,7,8,1672.0,41.8,0.0,1630.2,508.0,90.42
2025-01-06,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,apple_pay,new,138,112,108,32,17,11,12,2698.0,75.6,0.0,2622.4,846.0,118.18
2025-01-07,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,apple_pay,new,104,85,70,15,9,6,6,1514.0,19.9,0.0,1494.1,500.0,0.0
2025-01-07,Direct,direct,none,Unassigned,desktop,Jeddah,stc_pay,new,121,106,79,15,9,5,5,1225.0,35.9,0.0,1189.1,399.0,0.0
2025-01-07,Email,newsletter,email,Lifecycle,tablet,Dammam,visa,returning,89,72,67,14,8,4,4,816.0,0.0,0.0,816.0,238.0,0.0
2025-01-08,Paid Search,google,cpc,KSA Growth,desktop,Dammam,visa,new,151,134,109,31,19,12,16,3584.0,107.6,574.2,2902.2,1126.0,146.95
2025-01-08,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,mada,returning,153,125,118,33,23,14,15,3305.0,46.8,249.0,3009.2,1015.0,130.16
2025-01-08,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,mastercard,new,155,127,110,24,14,9,9,2041.0,43.8,0.0,1997.2,653.0,0.0
2025-01-09,Direct,direct,none,Unassigned,tablet,Madinah,mastercard,returning,142,123,100,25,16,10,10,2260.0,47.8,159.0,2053.2,720.0,0.0
2025-01-09,Email,newsletter,email,Lifecycle,mobile,Khobar,apple_pay,new,98,83,77,20,13,10,12,2888.0,32.9,199.0,2656.1,904.0,0.0
2025-01-09,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,stc_pay,new,97,85,67,17,9,6,7,1573.0,0.0,179.0,1394.0,497.0,0.0
2025-01-10,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,stc_pay,new,101,84,73,15,10,6,6,1404.0,0.0,0.0,1404.0,448.0,123.73
2025-01-10,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,visa,new,106,94,86,22,13,8,8,1692.0,13.9,0.0,1678.1,516.0,0.0
2025-01-10,Paid Search,google,cpc,KSA Growth,tablet,Dammam,mada,new,142,116,100,23,16,10,10,2420.0,15.9,0.0,2404.1,767.0,156.44
2025-01-11,Email,newsletter,email,Lifecycle,desktop,Dammam,mada,new,112,96,81,21,12,8,9,1991.0,0.0,0.0,1991.0,595.0,0.0
2025-01-11,Organic Search,google,organic,Always-on SEO,tablet,Makkah,mastercard,new,95,78,75,21,14,9,9,2041.0,0.0,0.0,2041.0,653.0,0.0
2025-01-11,Direct,direct,none,Unassigned,mobile,Madinah,apple_pay,returning,101,86,66,13,8,4,4,996.0,0.0,0.0,996.0,324.0,0.0
2025-01-12,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,apple_pay,new,122,100,100,21,10,6,6,1624.0,62.8,0.0,1561.2,539.0,0.0
2025-01-12,Paid Search,google,cpc,KSA Growth,mobile,Khobar,stc_pay,returning,99,89,78,19,12,8,8,1732.0,55.8,139.0,1537.2,538.0,105.53
2025-01-12,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,visa,new,108,85,87,25,13,7,7,1393.0,18.9,0.0,1374.1,422.0,136.72
2025-01-13,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,visa,returning,113,96,82,22,15,10,10,2130.0,36.8,179.0,1914.2,642.0,0.0
2025-01-13,Direct,direct,none,Unassigned,desktop,Jeddah,mada,new,112,81,79,18,12,8,9,1981.0,62.7,0.0,1918.3,603.0,0.0
2025-01-13,Email,newsletter,email,Lifecycle,tablet,Dammam,mastercard,new,140,126,96,27,14,9,11,2599.0,138.5,199.0,2261.5,847.0,0.0
2025-01-14,Paid Search,google,cpc,KSA Growth,desktop,Dammam,mastercard,new,155,115,104,23,12,8,9,2311.0,19.9,0.0,2291.1,766.0,136.59
2025-01-14,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,apple_pay,new,141,113,96,18,12,7,7,1563.0,8.9,0.0,1554.1,491.0,145.08
2025-01-14,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,stc_pay,new,157,138,106,20,11,8,8,1722.0,47.8,0.0,1674.2,532.0,0.0
2025-01-15,Direct,direct,none,Unassigned,tablet,Madinah,stc_pay,new,167,131,107,26,18,13,16,3394.0,86.6,0.0,3307.4,1053.0,0.0
2025-01-15,Email,newsletter,email,Lifecycle,mobile,Khobar,visa,new,168,134,115,24,13,8,8,1552.0,8.9,0.0,1543.1,465.0,0.0
2025-01-15,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,mada,returning,108,84,72,15,8,6,6,1314.0,41.8,0.0,1272.2,404.0,0.0
2025-01-16,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,mada,new,154,137,108,22,11,6,6,1284.0,32.9,0.0,1251.1,392.0,155.98
2025-01-16,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,mastercard,returning,116,83,90,26,16,10,10,2330.0,18.9,299.0,2012.1,738.0,0.0
2025-01-16,Paid Search,google,cpc,KSA Growth,tablet,Dammam,apple_pay,new,163,122,114,32,21,13,14,3126.0,85.7,0.0,3040.3,966.0,119.34
2025-01-17,Email,newsletter,email,Lifecycle,desktop,Dammam,apple_pay,returning,150,109,114,23,14,8,8,1812.0,0.0,0.0,1812.0,562.0,0.0
2025-01-17,Organic Search,google,organic,Always-on SEO,tablet,Makkah,stc_pay,new,122,91,79,20,11,7,7,1533.0,35.9,219.0,1278.1,477.0,0.0
2025-01-17,Direct,direct,none,Unassigned,mobile,Madinah,visa,new,116,104,78,14,9,5,5,975.0,24.9,0.0,950.1,277.0,0.0
2025-01-18,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,visa,new,143,114,111,21,11,8,8,1552.0,69.7,159.0,1323.3,465.0,0.0
2025-01-18,Paid Search,google,cpc,KSA Growth,mobile,Khobar,mada,new,106,89,82,23,15,11,11,2439.0,102.6,0.0,2336.4,769.0,89.97
2025-01-18,Paid Social,instagram,paid_social,Creator Offers,desktop,Riyadh,mastercard,new,107,79,85,23,16,9,11,2749.0,54.7,199.0,2495.3,891.0,117.3
2025-01-19,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mastercard,new,118,85,95,28,16,9,10,2270.0,114.6,0.0,2155.4,722.0,0.0
2025-01-19,Direct,direct,none,Unassigned,desktop,Jeddah,apple_pay,new,97,73,79,19,10,6,7,1703.0,64.7,179.1,1459.2,542.0,0.0
2025-01-19,Email,newsletter,email,Lifecycle,tablet,Dammam,stc_pay,returning,110,86,78,17,12,8,9,1941.0,51.8,0.0,1889.2,587.0,0.0
2025-01-20,Paid Search,google,cpc,KSA Growth,desktop,Dammam,stc_pay,new,96,80,67,14,8,5,5,1175.0,63.7,0.0,1111.3,375.0,105.05
2025-01-20,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,visa,returning,109,94,80,20,11,7,8,1622.0,18.9,0.0,1603.1,484.0,109.01
2025-01-20,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,mada,new,104,83,81,21,13,7,9,2291.0,69.7,0.0,2221.3,755.0,0.0
2025-01-21,Direct,direct,none,Unassigned,tablet,Madinah,mada,returning,142,109,105,21,13,7,7,1513.0,13.9,159.0,1340.1,465.0,0.0
2025-01-21,Email,newsletter,email,Lifecycle,mobile,Khobar,mastercard,new,133,104,99,20,11,7,7,1713.0,62.8,0.0,1650.2,563.0,0.0
2025-01-21,Organic Search,google,organic,Always-on SEO,desktop,Riyadh,apple_pay,new,137,115,101,18,11,6,6,1374.0,8.9,0.0,1365.1,436.0,0.0
2025-01-22,Paid Social,instagram,paid_social,Creator Offers,mobile,Riyadh,apple_pay,new,86,66,57,11,6,3,3,837.0,0.0,0.0,837.0,281.0,110.57
2025-01-22,Affiliates,partners,affiliate,Partner Network,desktop,Jeddah,stc_pay,new,79,61,52,9,5,3,4,746.0,35.8,0.0,710.2,216.0,0.0
2025-01-22,Paid Search,google,cpc,KSA Growth,tablet,Dammam,visa,new,138,107,109,28,20,11,12,2838.0,60.7,0.0,2777.3,912.0,119.45
2025-01-23,Email,newsletter,email,Lifecycle,desktop,Dammam,visa,new,183,154,129,24,13,9,9,1941.0,41.8,0.0,1899.2,585.0,0.0
2025-01-23,Organic Search,google,organic,Always-on SEO,tablet,Makkah,mada,new,99,86,81,18,10,7,7,1653.0,63.8,358.0,1231.2,535.0,0.0
2025-01-23,Direct,direct,none,Unassigned,mobile,Madinah,mastercard,returning,182,146,116,26,17,11,11,2359.0,62.7,0.0,2296.3,719.0,0.0
2025-01-24,Affiliates,partners,affiliate,Partner Network,tablet,Madinah,mastercard,new,81,64,60,13,8,5,5,1325.0,15.9,0.0,1309.1,445.0,0.0
2025-01-24,Paid Search,google,cpc,KSA Growth,mobile,Khobar,apple_pay,returning,151,121,109,23,12,7,8,1812.0,0.0,0.0,1812.0,570.0,192.06
