date,channel,source,medium,campaign,device,sessions,users,product_views,add_to_carts,begin_checkouts,purchases,purchase_revenue_sar,consent_state_coverage
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,132,108,85,24,16,11,2025.6,0.9842
2025-01-01,Direct,direct,none,Unassigned,desktop,144,128,101,22,12,7,1674.82,0.9764
2025-01-01,Email,newsletter,email,Lifecycle,tablet,140,103,110,29,15,10,2437.73,0.9874
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,115,96,76,14,7,5,1037.86,0.9751
2025-01-02,Paid Social,instagram,paid_social,Creator Offers,tablet,115,100,85,17,9,6,1294.18,0.9627
2025-01-02,Affiliates,partners,affiliate,Partner Network,mobile,107,81,74,20,11,7,1297.06,0.9609
2025-01-03,Direct,direct,none,Unassigned,tablet,99,71,64,16,10,8,1711.78,0.9724
2025-01-03,Email,newsletter,email,Lifecycle,mobile,76,61,61,17,9,6,978.53,0.9831
2025-01-03,Organic Search,google,organic,Always-on SEO,desktop,120,93,78,16,8,6,1387.3,0.971
2025-01-04,Paid Social,instagram,paid_social,Creator Offers,mobile,145,130,103,21,13,9,2416.42,0.9634
2025-01-04,Affiliates,partners,affiliate,Partner Network,desktop,106,86,68,18,10,7,1976.74,0.9816
2025-01-04,Paid Search,google,cpc,KSA Growth,tablet,119,101,91,23,12,7,1799.14,0.97
2025-01-05,Email,newsletter,email,Lifecycle,desktop,75,61,60,14,8,6,1519.68,0.9773
2025-01-05,Organic Search,google,organic,Always-on SEO,tablet,128,115,84,22,11,7,1702.18,0.9703
2025-01-05,Direct,direct,none,Unassigned,mobile,148,119,100,26,14,10,2532.48,0.9842
2025-01-06,Affiliates,partners,affiliate,Partner Network,tablet,153,134,122,31,17,12,2555.81,0.9682
2025-01-06,Paid Search,google,cpc,KSA Growth,mobile,97,81,66,18,11,7,1564.99,0.991
2025-01-06,Paid Social,instagram,paid_social,Creator Offers,desktop,135,109,104,30,16,11,2517.5,0.9673
2025-01-07,Organic Search,google,organic,Always-on SEO,mobile,101,83,67,14,8,6,1434.34,0.977
2025-01-07,Direct,direct,none,Unassigned,desktop,118,103,76,14,8,5,1141.54,0.9735
2025-01-07,Email,newsletter,email,Lifecycle,tablet,87,70,64,13,7,4,783.36,0.9637
2025-01-08,Paid Search,google,cpc,KSA Growth,desktop,147,131,105,29,18,12,2786.11,0.9708
2025-01-08,Paid Social,instagram,paid_social,Creator Offers,tablet,149,122,114,31,21,13,2888.83,0.971
2025-01-08,Affiliates,partners,affiliate,Partner Network,mobile,151,124,106,23,13,9,1917.31,0.989
2025-01-09,Direct,direct,none,Unassigned,tablet,139,120,97,24,15,10,1971.07,0.9914
2025-01-09,Email,newsletter,email,Lifecycle,mobile,96,81,74,19,12,10,2549.86,0.9868
2025-01-09,Organic Search,google,organic,Always-on SEO,desktop,95,83,64,16,8,6,1338.24,0.981
2025-01-10,Paid Social,instagram,paid_social,Creator Offers,mobile,98,82,70,14,9,6,1347.84,0.9793
2025-01-10,Affiliates,partners,affiliate,Partner Network,desktop,103,92,83,21,12,8,1610.98,0.962
2025-01-10,Paid Search,google,cpc,KSA Growth,tablet,139,113,97,22,15,10,2307.94,0.9925
2025-01-11,Email,newsletter,email,Lifecycle,desktop,109,94,78,20,11,8,1911.36,0.9863
2025-01-11,Organic Search,google,organic,Always-on SEO,tablet,93,76,72,20,13,9,1959.36,0.9748
2025-01-11,Direct,direct,none,Unassigned,mobile,98,84,64,12,7,4,956.16,0.9619
2025-01-12,Affiliates,partners,affiliate,Partner Network,tablet,119,98,97,20,9,6,1498.75,0.971
2025-01-12,Paid Search,google,cpc,KSA Growth,mobile,97,87,75,18,11,8,1475.71,0.9694
2025-01-12,Paid Social,instagram,paid_social,Creator Offers,desktop,105,83,84,24,12,7,1319.14,0.9737
2025-01-13,Organic Search,google,organic,Always-on SEO,mobile,110,94,79,21,14,10,1837.63,0.9881
2025-01-13,Direct,direct,none,Unassigned,desktop,109,79,76,17,11,8,1841.57,0.9773
2025-01-13,Email,newsletter,email,Lifecycle,tablet,137,123,93,25,13,9,2171.04,0.9798
2025-01-14,Paid Search,google,cpc,KSA Growth,desktop,151,112,100,22,11,8,2199.46,0.973
2025-01-14,Paid Social,instagram,paid_social,Creator Offers,tablet,138,110,93,17,11,7,1491.94,0.9705
2025-01-14,Affiliates,partners,affiliate,Partner Network,mobile,153,135,102,19,10,8,1607.23,0.9888
2025-01-15,Direct,direct,none,Unassigned,tablet,163,128,103,24,17,12,3175.1,0.9771
2025-01-15,Email,newsletter,email,Lifecycle,mobile,164,131,111,23,12,8,1481.38,0.9809
2025-01-15,Organic Search,google,organic,Always-on SEO,desktop,105,82,69,14,7,6,1221.31,0.9686
2025-01-16,Paid Social,instagram,paid_social,Creator Offers,mobile,150,134,104,21,10,6,1201.06,0.9875
2025-01-16,Affiliates,partners,affiliate,Partner Network,desktop,113,81,87,24,15,10,1931.62,0.9879
2025-01-16,Paid Search,google,cpc,KSA Growth,tablet,159,119,110,30,19,12,2918.69,0.9726
2025-01-17,Email,newsletter,email,Lifecycle,desktop,147,106,110,22,13,8,1739.52,0.9615
2025-01-17,Organic Search,google,organic,Always-on SEO,tablet,119,89,76,19,10,7,1226.98,0.9746
2025-01-17,Direct,direct,none,Unassigned,mobile,113,101,75,13,8,5,912.1,0.9642
2025-01-18,Affiliates,partners,affiliate,Partner Network,tablet,140,111,107,20,10,8,1270.37,0.9884
2025-01-18,Paid Search,google,cpc,KSA Growth,mobile,103,87,79,22,14,11,2242.94,0.9653
2025-01-18,Paid Social,instagram,paid_social,Creator Offers,desktop,104,77,82,22,15,9,2395.49,0.9778
2025-01-19,Organic Search,google,organic,Always-on SEO,mobile,115,83,92,26,15,9,2069.18,0.9734
2025-01-19,Direct,direct,none,Unassigned,desktop,95,71,76,18,9,6,1400.83,0.9818
2025-01-19,Email,newsletter,email,Lifecycle,tablet,107,84,75,16,11,8,1813.63,0.9922
2025-01-20,Paid Search,google,cpc,KSA Growth,desktop,94,78,64,13,7,5,1066.85,0.9652
2025-01-20,Paid Social,instagram,paid_social,Creator Offers,tablet,106,92,77,19,10,7,1538.98,0.9632
2025-01-20,Affiliates,partners,affiliate,Partner Network,mobile,101,81,78,20,12,7,2132.45,0.9776
2025-01-21,Direct,direct,none,Unassigned,tablet,139,106,101,20,12,7,1286.5,0.9634
2025-01-21,Email,newsletter,email,Lifecycle,mobile,130,101,96,19,10,7,1584.19,0.9898
2025-01-21,Organic Search,google,organic,Always-on SEO,desktop,134,112,97,17,10,6,1310.5,0.9821
2025-01-22,Paid Social,instagram,paid_social,Creator Offers,mobile,84,64,55,10,5,3,803.52,0.9917
2025-01-22,Affiliates,partners,affiliate,Partner Network,desktop,77,59,50,8,4,3,681.79,0.9632
2025-01-22,Paid Search,google,cpc,KSA Growth,tablet,135,104,105,26,19,11,2666.21,0.9728
2025-01-23,Email,newsletter,email,Lifecycle,desktop,179,150,125,23,12,9,1823.23,0.9608
2025-01-23,Organic Search,google,organic,Always-on SEO,tablet,97,84,78,17,9,7,1181.95,0.9721
2025-01-23,Direct,direct,none,Unassigned,mobile,178,143,112,24,16,11,2204.45,0.9811
2025-01-24,Affiliates,partners,affiliate,Partner Network,tablet,79,62,58,12,7,5,1256.74,0.9823
2025-01-24,Paid Search,google,cpc,KSA Growth,mobile,147,118,105,22,11,7,1739.52,0.9623
2025-01-24,Paid Social,instagram,paid_social,Creator Offers,desktop,139,103,90,24,15,11,2252.35,0.9807
2025-01-25,Organic Search,google,organic,Always-on SEO,mobile,92,70,68,19,9,5,1101.5,0.9602
2025-01-25,Direct,direct,none,Unassigned,desktop,124,112,80,18,10,8,1621.73,0.9939
2025-01-25,Email,newsletter,email,Lifecycle,tablet,147,131,102,25,18,12,2864.16,0.9842
2025-01-26,Paid Search,google,cpc,KSA Growth,desktop,150,118,97,25,14,10,2229.22,0.9709
2025-01-26,Paid Social,instagram,paid_social,Creator Offers,tablet,147,129,97,24,16,11,2010.43,0.9797
