date,channel,source,medium,campaign,device,product_id,sessions,active_user_days,product_views,add_to_carts,begin_checkouts,tracked_purchases
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P001,7,6,4,1,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P002,11,9,7,2,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P003,16,13,10,3,2,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P004,10,9,7,2,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P005,15,12,10,3,2,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P006,10,8,6,2,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P007,14,12,9,3,2,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P008,9,7,6,2,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P009,13,11,9,2,2,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P010,8,6,5,1,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P011,12,10,8,2,1,1
2025-01-01,Organic Search,google,organic,Always-on SEO,mobile,P012,7,5,4,1,1,0
2025-01-01,Direct,direct,none,Unassigned,desktop,P001,10,9,7,2,1,0
2025-01-01,Direct,direct,none,Unassigned,desktop,P002,15,14,11,2,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P003,9,8,6,1,1,0
2025-01-01,Direct,direct,none,Unassigned,desktop,P004,14,13,10,2,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P005,8,7,6,1,1,0
2025-01-01,Direct,direct,none,Unassigned,desktop,P006,13,12,9,2,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P007,7,6,5,1,1,0
2025-01-01,Direct,direct,none,Unassigned,desktop,P008,12,11,9,2,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P009,18,15,12,3,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P010,11,10,8,2,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P011,17,14,11,2,1,1
2025-01-01,Direct,direct,none,Unassigned,desktop,P012,10,9,7,2,1,0
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P001,13,9,10,3,1,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P002,7,5,5,1,1,0
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P003,12,9,9,2,1,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P004,16,12,13,3,2,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P005,11,8,8,2,1,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P006,15,11,12,3,2,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P007,10,7,8,2,1,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P008,14,11,11,3,2,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P009,9,6,7,2,1,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P010,13,10,11,3,1,1
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P011,8,6,6,2,1,0
2025-01-01,Email,newsletter,email,Lifecycle,tablet,P012,12,9,10,3,1,1
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P001,7,5,4,1,0,0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P002,11,9,7,1,1,1
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P003,6,5,4,1,0,0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P004,10,8,7,1,1,0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P005,14,12,9,2,1,1
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P006,9,8,6,1,1,0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P007,13,11,9,2,1,1
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P008,8,7,5,1,0,0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P009,12,10,8,1,1,1
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P010,7,6,5,1,0,0
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P011,11,10,8,1,1,1
2025-01-02,Paid Search,google,cpc,KSA Growth,desktop,P012,7,5,4,1,0,0
2025-01-02,Paid Social,instagram,paid_social,Creator Offers,tablet,P001,9,8,7,1,1,0
