date,channel,source,medium,campaign,clicks,conversions,conversion_value_sar,ad_spend_sar
2025-01-02,Paid Search,google,cpc,KSA Growth,20,5,1037.86,85.65
2025-01-02,Paid Social,instagram,paid_social,Creator Offers,20,6,1294.18,120.48
2025-01-04,Paid Social,instagram,paid_social,Creator Offers,26,9,2416.42,171.26
2025-01-04,Paid Search,google,cpc,KSA Growth,21,7,1799.14,166.55
2025-01-06,Paid Search,google,cpc,KSA Growth,17,7,1564.99,90.42
2025-01-06,Paid Social,instagram,paid_social,Creator Offers,24,11,2517.5,118.18
2025-01-08,Paid Search,google,cpc,KSA Growth,26,12,2786.11,146.95
2025-01-08,Paid Social,instagram,paid_social,Creator Offers,26,13,2888.83,130.16
2025-01-10,Paid Social,instagram,paid_social,Creator Offers,17,6,1347.84,123.73
2025-01-10,Paid Search,google,cpc,KSA Growth,25,10,2307.94,156.44
2025-01-12,Paid Search,google,cpc,KSA Growth,17,8,1475.71,105.53
2025-01-12,Paid Social,instagram,paid_social,Creator Offers,18,7,1319.14,136.72
2025-01-14,Paid Search,google,cpc,KSA Growth,27,8,2199.46,136.59
2025-01-14,Paid Social,instagram,paid_social,Creator Offers,24,7,1491.94,145.08
2025-01-16,Paid Social,instagram,paid_social,Creator Offers,27,6,1201.06,155.98
2025-01-16,Paid Search,google,cpc,KSA Growth,28,12,2918.69,119.34
2025-01-18,Paid Search,google,cpc,KSA Growth,18,11,2242.94,89.97
2025-01-18,Paid Social,instagram,paid_social,Creator Offers,18,9,2395.49,117.3
2025-01-20,Paid Search,google,cpc,KSA Growth,16,5,1066.85,105.05
2025-01-20,Paid Social,instagram,paid_social,Creator Offers,19,7,1538.98,109.01
2025-01-22,Paid Social,instagram,paid_social,Creator Offers,15,3,803.52,110.57
2025-01-22,Paid Search,google,cpc,KSA Growth,24,11,2666.21,119.45
2025-01-24,Paid Search,google,cpc,KSA Growth,26,7,1739.52,192.06
2025-01-24,Paid Social,instagram,paid_social,Creator Offers,25,11,2252.35,134.29
2025-01-26,Paid Search,google,cpc,KSA Growth,27,10,2229.22,171.42
2025-01-26,Paid Social,instagram,paid_social,Creator Offers,26,11,2010.43,137.03
