date,product_id,destination,status,issue_code,affected_items
2025-01-01,P001,Shopping ads,approved,none,0
2025-01-01,P002,Shopping ads,approved,none,0
2025-01-01,P003,Shopping ads,approved,none,0
2025-01-01,P004,Shopping ads,approved,none,0
2025-01-01,P005,Shopping ads,approved,none,0
2025-01-01,P006,Shopping ads,approved,none,0
2025-01-01,P007,Shopping ads,approved,none,0
2025-01-01,P008,Shopping ads,approved,none,0
2025-01-01,P009,Shopping ads,approved,none,0
2025-01-01,P010,Shopping ads,approved,none,0
2025-01-01,P011,Shopping ads,approved,none,0
2025-01-01,P012,Shopping ads,approved,none,0
2025-01-08,P001,Shopping ads,approved,none,0
2025-01-08,P002,Shopping ads,approved,none,0
2025-01-08,P003,Shopping ads,approved,none,0
2025-01-08,P004,Shopping ads,approved,none,0
2025-01-08,P005,Shopping ads,approved,none,0
2025-01-08,P006,Shopping ads,approved,none,0
2025-01-08,P007,Shopping ads,approved,none,0
2025-01-08,P008,Shopping ads,approved,none,0
2025-01-08,P009,Shopping ads,approved,none,0
2025-01-08,P010,Shopping ads,approved,none,0
2025-01-08,P011,Shopping ads,approved,none,0
2025-01-08,P012,Shopping ads,approved,none,0
2025-01-15,P001,Shopping ads,approved,none,0
2025-01-15,P002,Shopping ads,approved,none,0
2025-01-15,P003,Shopping ads,approved,none,0
2025-01-15,P004,Shopping ads,approved,none,0
2025-01-15,P005,Shopping ads,approved,none,0
2025-01-15,P006,Shopping ads,approved,none,0
2025-01-15,P007,Shopping ads,approved,none,0
2025-01-15,P008,Shopping ads,approved,none,0
2025-01-15,P009,Shopping ads,approved,none,0
2025-01-15,P010,Shopping ads,approved,none,0
2025-01-15,P011,Shopping ads,approved,none,0
2025-01-15,P012,Shopping ads,approved,none,0
2025-01-22,P001,Shopping ads,approved,none,0
2025-01-22,P002,Shopping ads,approved,none,0
2025-01-22,P003,Shopping ads,approved,none,0
2025-01-22,P004,Shopping ads,approved,none,0
2025-01-22,P005,Shopping ads,approved,none,0
2025-01-22,P006,Shopping ads,approved,none,0
2025-01-22,P007,Shopping ads,approved,none,0
2025-01-22,P008,Shopping ads,approved,none,0
2025-01-22,P009,Shopping ads,approved,none,0
2025-01-22,P010,Shopping ads,approved,none,0
2025-01-22,P011,Shopping ads,approved,none,0
2025-01-22,P012,Shopping ads,approved,none,0
2025-01-29,P001,Shopping ads,approved,none,0
2025-01-29,P002,Shopping ads,approved,none,0
2025-01-29,P003,Shopping ads,approved,none,0
