order_id,order_date,product_id,quantity,item_revenue_sar,item_cost_sar,discount_sar
SYN-20250101-0-00,2025-01-01,P001,1,299.0,94.0,0.0
SYN-20250101-0-01,2025-01-01,P002,1,89.0,24.0,0.0
SYN-20250101-0-02,2025-01-01,P003,1,179.0,49.0,0.0
SYN-20250101-0-03,2025-01-01,P004,1,249.0,71.0,0.0
SYN-20250101-0-04,2025-01-01,P005,1,219.0,67.0,0.0
SYN-20250101-0-05,2025-01-01,P006,1,139.0,35.0,0.0
SYN-20250101-0-06,2025-01-01,P007,1,189.0,55.0,0.0
SYN-20250101-0-07,2025-01-01,P008,1,329.0,121.0,0.0
SYN-20250101-0-08,2025-01-01,P009,1,159.0,43.0,0.0
SYN-20250101-0-09,2025-01-01,P010,1,279.0,83.0,0.0
SYN-20250101-0-10,2025-01-01,P011,1,199.0,61.0,0.0
SYN-20250101-1-00,2025-01-01,P004,1,249.0,71.0,24.9
SYN-20250101-1-01,2025-01-01,P005,1,219.0,67.0,21.9
SYN-20250101-1-02,2025-01-01,P006,1,139.0,35.0,0.0
SYN-20250101-1-03,2025-01-01,P007,1,189.0,55.0,18.9
SYN-20250101-1-04,2025-01-01,P008,2,658.0,242.0,65.8
SYN-20250101-1-05,2025-01-01,P009,1,159.0,43.0,15.9
SYN-20250101-1-06,2025-01-01,P010,1,279.0,83.0,0.0
SYN-20250101-2-00,2025-01-01,P007,1,189.0,55.0,18.9
SYN-20250101-2-01,2025-01-01,P008,1,329.0,121.0,32.9
SYN-20250101-2-02,2025-01-01,P009,1,159.0,43.0,0.0
SYN-20250101-2-03,2025-01-01,P010,2,558.0,166.0,0.0
SYN-20250101-2-04,2025-01-01,P011,1,199.0,61.0,0.0
SYN-20250101-2-05,2025-01-01,P012,1,359.0,137.0,0.0
SYN-20250101-2-06,2025-01-01,P001,1,299.0,94.0,0.0
SYN-20250101-2-07,2025-01-01,P002,1,89.0,24.0,0.0
SYN-20250101-2-08,2025-01-01,P003,1,179.0,49.0,17.9
SYN-20250101-2-09,2025-01-01,P004,1,249.0,71.0,0.0
SYN-20250102-0-00,2025-01-02,P006,1,139.0,35.0,13.9
SYN-20250102-0-01,2025-01-02,P007,1,189.0,55.0,0.0
SYN-20250102-0-02,2025-01-02,P008,1,329.0,121.0,0.0
SYN-20250102-0-03,2025-01-02,P009,1,159.0,43.0,0.0
SYN-20250102-0-04,2025-01-02,P010,1,279.0,83.0,0.0
SYN-20250102-1-00,2025-01-02,P009,1,159.0,43.0,0.0
SYN-20250102-1-01,2025-01-02,P010,1,279.0,83.0,0.0
SYN-20250102-1-02,2025-01-02,P011,1,199.0,61.0,0.0
SYN-20250102-1-03,2025-01-02,P012,1,359.0,137.0,35.9
SYN-20250102-1-04,2025-01-02,P001,1,299.0,94.0,0.0
SYN-20250102-1-05,2025-01-02,P002,1,89.0,24.0,0.0
SYN-20250102-2-00,2025-01-02,P012,1,359.0,137.0,0.0
SYN-20250102-2-01,2025-01-02,P001,1,299.0,94.0,0.0
SYN-20250102-2-02,2025-01-02,P002,2,178.0,48.0,0.0
SYN-20250102-2-03,2025-01-02,P003,1,179.0,49.0,0.0
SYN-20250102-2-04,2025-01-02,P004,1,249.0,71.0,24.9
SYN-20250102-2-05,2025-01-02,P005,1,219.0,67.0,21.9
SYN-20250102-2-06,2025-01-02,P006,1,139.0,35.0,0.0
SYN-20250103-0-00,2025-01-03,P011,2,398.0,122.0,0.0
SYN-20250103-0-01,2025-01-03,P012,1,359.0,137.0,0.0
SYN-20250103-0-02,2025-01-03,P001,1,299.0,94.0,0.0
SYN-20250103-0-03,2025-01-03,P002,1,89.0,24.0,8.9
SYN-20250103-0-04,2025-01-03,P003,1,179.0,49.0,0.0
SYN-20250103-0-05,2025-01-03,P004,1,249.0,71.0,0.0
SYN-20250103-0-06,2025-01-03,P005,1,219.0,67.0,0.0
SYN-20250103-0-07,2025-01-03,P006,2,278.0,70.0,0.0
SYN-20250103-1-00,2025-01-03,P002,1,89.0,24.0,8.9
SYN-20250103-1-01,2025-01-03,P003,1,179.0,49.0,0.0
SYN-20250103-1-02,2025-01-03,P004,1,249.0,71.0,0.0
SYN-20250103-1-03,2025-01-03,P005,1,219.0,67.0,21.9
SYN-20250103-1-04,2025-01-03,P006,1,139.0,35.0,13.9
SYN-20250103-1-05,2025-01-03,P007,1,189.0,55.0,0.0
