date,query,page,country,device,clicks,impressions,ctr,average_position,is_branded
2025-01-01,primeorder software,/,SA,mobile,6,134,0.044776,3.85,True
2025-01-01,digital subscriptions saudi,/collections/productivity,SA,desktop,12,370,0.032432,17.77,False
2025-01-02,office software ksa,/,SA,desktop,14,295,0.047458,17.38,False
2025-01-02,office software ksa,/collections/productivity,SA,tablet,32,430,0.074419,3.88,False
2025-01-03,ai tools arabic,/,SA,tablet,12,469,0.025586,9.32,False
2025-01-03,ai tools arabic,/collections/productivity,SA,mobile,28,397,0.070529,3.83,False
2025-01-04,primeorder software,/,SA,mobile,8,215,0.037209,15.52,True
2025-01-04,digital subscriptions saudi,/collections/productivity,SA,desktop,51,469,0.108742,8.04,False
2025-01-05,office software ksa,/,SA,desktop,4,166,0.024096,14.92,False
2025-01-05,office software ksa,/collections/productivity,SA,tablet,3,117,0.025641,4.13,False
2025-01-06,ai tools arabic,/,SA,tablet,11,193,0.056995,4.48,False
2025-01-06,ai tools arabic,/collections/productivity,SA,mobile,30,397,0.075567,17.89,False
2025-01-07,primeorder software,/,SA,mobile,26,361,0.072022,14.91,True
2025-01-07,digital subscriptions saudi,/collections/productivity,SA,desktop,7,95,0.073684,14.05,False
2025-01-08,office software ksa,/,SA,desktop,11,372,0.02957,6.58,False
2025-01-08,office software ksa,/collections/productivity,SA,tablet,8,189,0.042328,15.74,False
2025-01-09,ai tools arabic,/,SA,tablet,6,180,0.033333,13.92,False
2025-01-09,ai tools arabic,/collections/productivity,SA,mobile,9,134,0.067164,3.45,False
2025-01-10,primeorder software,/,SA,mobile,23,234,0.098291,14.07,True
2025-01-10,digital subscriptions saudi,/collections/productivity,SA,desktop,7,168,0.041667,13.44,False
2025-01-11,office software ksa,/,SA,desktop,12,190,0.063158,3.99,False
2025-01-11,office software ksa,/collections/productivity,SA,tablet,25,437,0.057208,12.14,False
2025-01-12,ai tools arabic,/,SA,tablet,27,288,0.09375,16.25,False
2025-01-12,ai tools arabic,/collections/productivity,SA,mobile,10,377,0.026525,8.47,False
2025-01-13,primeorder software,/,SA,mobile,22,287,0.076655,5.38,True
2025-01-13,digital subscriptions saudi,/collections/productivity,SA,desktop,12,365,0.032877,3.57,False
2025-01-14,office software ksa,/,SA,desktop,6,101,0.059406,17.96,False
2025-01-14,office software ksa,/collections/productivity,SA,tablet,15,408,0.036765,14.65,False
2025-01-15,ai tools arabic,/,SA,tablet,26,446,0.058296,9.65,False
2025-01-15,ai tools arabic,/collections/productivity,SA,mobile,31,451,0.068736,12.51,False
2025-01-16,primeorder software,/,SA,mobile,17,201,0.084577,6.08,True
2025-01-16,digital subscriptions saudi,/collections/productivity,SA,desktop,7,213,0.032864,11.08,False
2025-01-17,office software ksa,/,SA,desktop,9,262,0.034351,11.08,False
