order_id,tracking_transaction_id,order_date,anonymous_customer_id,customer_type,channel,source,medium,campaign,device,city,payment_method,coupon_group,order_status,gross_revenue_sar,discount_sar,refund_sar,net_revenue_sar
SYN-20250101-0-00,TX-250101-0-00,2025-01-01,CUST-00000,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,299.0,0.0,0.0,299.0
SYN-20250101-0-01,TX-250101-0-01,2025-01-01,CUST-00017,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,89.0,0.0,0.0,89.0
SYN-20250101-0-02,TX-250101-0-02,2025-01-01,CUST-00034,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,179.0,0.0,0.0,179.0
SYN-20250101-0-03,TX-250101-0-03,2025-01-01,CUST-00051,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,249.0,0.0,0.0,249.0
SYN-20250101-0-04,TX-250101-0-04,2025-01-01,CUST-00068,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,refunded,219.0,0.0,219.0,0.0
SYN-20250101-0-05,TX-250101-0-05,2025-01-01,CUST-00085,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,139.0,0.0,0.0,139.0
SYN-20250101-0-06,TX-250101-0-06,2025-01-01,CUST-00102,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,189.0,0.0,0.0,189.0
SYN-20250101-0-07,TX-250101-0-07,2025-01-01,CUST-00119,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,329.0,0.0,0.0,329.0
SYN-20250101-0-08,TX-250101-0-08,2025-01-01,CUST-00136,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,159.0,0.0,0.0,159.0
SYN-20250101-0-09,TX-250101-0-09,2025-01-01,CUST-00153,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,279.0,0.0,0.0,279.0
SYN-20250101-0-10,TX-250101-0-10,2025-01-01,CUST-00170,returning,Organic Search,google,organic,Always-on SEO,mobile,Riyadh,mada,none,completed,199.0,0.0,0.0,199.0
SYN-20250101-1-00,TX-250101-1-00,2025-01-01,CUST-00101,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,campaign,completed,249.0,24.9,0.0,224.1
SYN-20250101-1-01,TX-250101-1-01,2025-01-01,CUST-00118,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,campaign,completed,219.0,21.9,0.0,197.1
SYN-20250101-1-02,TX-250101-1-02,2025-01-01,CUST-00135,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,none,completed,139.0,0.0,0.0,139.0
SYN-20250101-1-03,TX-250101-1-03,2025-01-01,CUST-00152,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,campaign,completed,189.0,18.9,0.0,170.1
SYN-20250101-1-04,TX-250101-1-04,2025-01-01,CUST-00169,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,campaign,completed,658.0,65.8,0.0,592.2
SYN-20250101-1-05,TX-250101-1-05,2025-01-01,CUST-00186,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,campaign,completed,159.0,15.9,0.0,143.1
SYN-20250101-1-06,TX-250101-1-06,2025-01-01,CUST-00203,new,Direct,direct,none,Unassigned,desktop,Jeddah,mastercard,none,completed,279.0,0.0,0.0,279.0
SYN-20250101-2-00,TX-250101-2-00,2025-01-01,CUST-00202,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,campaign,completed,189.0,18.9,0.0,170.1
SYN-20250101-2-01,TX-250101-2-01,2025-01-01,CUST-00219,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,campaign,completed,329.0,32.9,0.0,296.1
SYN-20250101-2-02,TX-250101-2-02,2025-01-01,CUST-00236,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,159.0,0.0,0.0,159.0
SYN-20250101-2-03,TX-250101-2-03,2025-01-01,CUST-00253,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,558.0,0.0,0.0,558.0
SYN-20250101-2-04,TX-250101-2-04,2025-01-01,CUST-00270,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,199.0,0.0,0.0,199.0
SYN-20250101-2-05,TX-250101-2-05,2025-01-01,CUST-00287,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,359.0,0.0,0.0,359.0
SYN-20250101-2-06,TX-250101-2-06,2025-01-01,CUST-00304,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,299.0,0.0,0.0,299.0
SYN-20250101-2-07,TX-250101-2-07,2025-01-01,CUST-00321,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,89.0,0.0,0.0,89.0
SYN-20250101-2-08,TX-250101-2-08,2025-01-01,CUST-00338,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,campaign,completed,179.0,17.9,0.0,161.1
SYN-20250101-2-09,TX-250101-2-09,2025-01-01,CUST-00355,new,Email,newsletter,email,Lifecycle,tablet,Dammam,apple_pay,none,completed,249.0,0.0,0.0,249.0
SYN-20250102-0-00,TX-250102-0-00,2025-01-02,CUST-00011,new,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,campaign,completed,139.0,13.9,0.0,125.1
SYN-20250102-0-01,TX-250102-0-01,2025-01-02,CUST-00028,new,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,none,completed,189.0,0.0,0.0,189.0
SYN-20250102-0-02,TX-250102-0-02,2025-01-02,CUST-00045,new,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,none,completed,329.0,0.0,0.0,329.0
SYN-20250102-0-03,TX-250102-0-03,2025-01-02,CUST-00062,new,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,none,completed,159.0,0.0,0.0,159.0
SYN-20250102-0-04,TX-250102-0-04,2025-01-02,CUST-00079,new,Paid Search,google,cpc,KSA Growth,desktop,Dammam,apple_pay,none,completed,279.0,0.0,0.0,279.0
SYN-20250102-1-00,TX-250102-1-00,2025-01-02,CUST-00112,new,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,none,completed,159.0,0.0,0.0,159.0
SYN-20250102-1-01,TX-250102-1-01,2025-01-02,CUST-00129,new,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,none,completed,279.0,0.0,0.0,279.0
SYN-20250102-1-02,TX-250102-1-02,2025-01-02,CUST-00146,new,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,none,completed,199.0,0.0,0.0,199.0
SYN-20250102-1-03,TX-250102-1-03,2025-01-02,CUST-00163,new,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,campaign,completed,359.0,35.9,0.0,323.1
SYN-20250102-1-04,TX-250102-1-04,2025-01-02,CUST-00180,new,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,none,completed,299.0,0.0,0.0,299.0
SYN-20250102-1-05,TX-250102-1-05,2025-01-02,CUST-00197,new,Paid Social,instagram,paid_social,Creator Offers,tablet,Makkah,stc_pay,none,completed,89.0,0.0,0.0,89.0
SYN-20250102-2-00,TX-250102-2-00,2025-01-02,CUST-00213,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,none,completed,359.0,0.0,0.0,359.0
SYN-20250102-2-01,TX-250102-2-01,2025-01-02,CUST-00230,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,none,completed,299.0,0.0,0.0,299.0
SYN-20250102-2-02,TX-250102-2-02,2025-01-02,CUST-00247,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,none,completed,178.0,0.0,0.0,178.0
SYN-20250102-2-03,TX-250102-2-03,2025-01-02,CUST-00264,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,none,completed,179.0,0.0,0.0,179.0
SYN-20250102-2-04,TX-250102-2-04,2025-01-02,CUST-00281,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,campaign,refunded,249.0,24.9,224.1,0.0
SYN-20250102-2-05,TX-250102-2-05,2025-01-02,CUST-00298,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,campaign,completed,219.0,21.9,0.0,197.1
SYN-20250102-2-06,TX-250102-2-06,2025-01-02,CUST-00315,new,Affiliates,partners,affiliate,Partner Network,mobile,Madinah,visa,none,completed,139.0,0.0,0.0,139.0
SYN-20250103-0-00,TX-250103-0-00,2025-01-03,CUST-00022,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,completed,398.0,0.0,0.0,398.0
SYN-20250103-0-01,TX-250103-0-01,2025-01-03,CUST-00039,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,completed,359.0,0.0,0.0,359.0
SYN-20250103-0-02,TX-250103-0-02,2025-01-03,CUST-00056,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,completed,299.0,0.0,0.0,299.0
SYN-20250103-0-03,TX-250103-0-03,2025-01-03,CUST-00073,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,campaign,completed,89.0,8.9,0.0,80.1
SYN-20250103-0-04,TX-250103-0-04,2025-01-03,CUST-00090,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,completed,179.0,0.0,0.0,179.0
SYN-20250103-0-05,TX-250103-0-05,2025-01-03,CUST-00107,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,completed,249.0,0.0,0.0,249.0
SYN-20250103-0-06,TX-250103-0-06,2025-01-03,CUST-00124,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,completed,219.0,0.0,0.0,219.0
SYN-20250103-0-07,TX-250103-0-07,2025-01-03,CUST-00141,new,Direct,direct,none,Unassigned,tablet,Madinah,visa,none,refunded,278.0,0.0,278.0,0.0
SYN-20250103-1-00,TX-250103-1-00,2025-01-03,CUST-00123,new,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,campaign,completed,89.0,8.9,0.0,80.1
SYN-20250103-1-01,TX-250103-1-01,2025-01-03,CUST-00140,new,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,none,completed,179.0,0.0,0.0,179.0
SYN-20250103-1-02,TX-250103-1-02,2025-01-03,CUST-00157,new,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,none,completed,249.0,0.0,0.0,249.0
SYN-20250103-1-03,TX-250103-1-03,2025-01-03,CUST-00174,new,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,campaign,completed,219.0,21.9,0.0,197.1
SYN-20250103-1-04,TX-250103-1-04,2025-01-03,CUST-00191,new,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,campaign,completed,139.0,13.9,0.0,125.1
SYN-20250103-1-05,TX-250103-1-05,2025-01-03,CUST-00208,new,Email,newsletter,email,Lifecycle,mobile,Khobar,mada,none,completed,189.0,0.0,0.0,189.0
